name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
Indian Oil Corpo...,4.4,(2k Reviews),Private,"Delhi/NCR,Delhi + 174 more",63 years old,10k-50k Employees (India)
24/7 Customer,3.6,(1.7k Reviews),Private,"San Jose,California + 19 more",22 years old,5k-10k Employees (India)
Conduent,3.7,(1.7k Reviews),Private,"Florham Park,New Jersey + 19 more",5 years old,5k-10k Employees (India)
Titan Company,4.4,(1.7k Reviews),Public,"Mumbai,Maharashtra + 120 more",4 years old,5k-10k Employees (India)
Future Retail,4.2,(4.4k Reviews),Public,"San Francisco,California + 184 more",35 years old,10k-50k Employees (India)
Tata Teleservice...,4.2,(1.7k Reviews),Public,"Mumbai,Maharashtra + 152 more",26 years old,201-500 Employees (India)
Maersk,4.4,(1.7k Reviews),Private,Copenhagen + 21 more,118 years old,10k-50k Employees (India)
Hindalco Industr...,4.3,(1.7k Reviews),Public,"Mumbai,Maharashtra + 63 more",64 years old,10k-50k Employees (India)
MRF Tyres,3.7,(1.8k Reviews),Public,"Chennai,Tamil Nadu + 158 more",76 years old,1k-5k Employees (India)
PepsiCo,4.1,(1.8k Reviews),Private,"Harrison,New York + 199 more",33 years old,1 Lakh+ Employees (India)
State Street Syn...,3.8,(1.7k Reviews),Private,Mumbai + 12 more,18 years old,501-1k Employees (India)
Jindal Steel and...,4.0,(2k Reviews),Private,"Delhi/NCR,New Delhi + 88 more",70 years old,5k-10k Employees (India)
Huawei Technolog...,3.8,(1.7k Reviews),Private,"Gurgaon/Gurugram,Haryana + 87 more",20 years old,1k-5k Employees (India)
Tractors and Far...,4.2,(1.7k Reviews),Public,"Chennai,Tamil Nadu + 131 more",62 years old,5k-10k Employees (India)
CARS24.com,3.8,(1.7k Reviews),Private,"Gurgaon,Haryana + 131 more",7 years old,5k-10k Employees (India)
Team Lease,4.1,(1.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 186 more",6 years old,1k-5k Employees (India)
Torrent Pharmace...,4.1,(1.7k Reviews),Public,"Ahmedabad,Gujrat + 86 more",51 years old,5k-10k Employees (India)
Vishal Mega Mart,3.9,(1.7k Reviews),Private,"Ahmedabad,Gujrat + 234 more",14 years old,5k-10k Employees (India)
RSPL Group,4.1,(1.7k Reviews),Private,"Mumbai,Maharashtra + 138 more",35 years old,1k-5k Employees (India)
Ceat Tyres,4.2,(1.7k Reviews),Public,"Mumbai,Maharashtra + 93 more",64 years old,5k-10k Employees (India)
ACC,4.0,(1.7k Reviews),Public,"Mumbai,Maharashtra + 169 more",86 years old,5k-10k Employees (India)
Rivigo,3.9,(1.7k Reviews),Private,"Gurgaon,Haryana + 144 more",8 years old,1k-5k Employees (India)
L&T Technology S...,3.4,(1.6k Reviews),Public,"Vadodara/Baroda,Gujarat + 23 more",10 years old,10k-50k Employees (India)
Capita,3.9,(1.7k Reviews),Private,"Indore,Madhya Pradesh + 16 more",17 years old,1k-5k Employees (India)
